"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","exceeds_quota","total_monthly_quota","organization","cost_center_name"
"2026-02-01","singadi","copilot","copilot_premium_request","Claude Haiku 4.5","17.819999999999993","requests","0.04","0.7127999999999995","0.7127999999999995","0","False","300","Experity",""
"2026-02-01","snehathaduruexperity","copilot","copilot_premium_request","Claude Haiku 4.5","4.95","requests","0.04","0.19799999999999995","0.19799999999999995","0","False","300","Experity",""
"2026-02-01","kjm0001","copilot","copilot_premium_request","Claude Haiku 4.5","18.47999999999999","requests","0.04","0.7391999999999995","0.7391999999999995","0","False","300","Experity",""
"2026-02-01","snehathaduruexperity","copilot","copilot_premium_request","Claude Sonnet 4.5","31","requests","0.04","1.2400000000000004","1.2400000000000004","0","False","300","Experity",""
"2026-02-01","nkaur24","copilot","copilot_premium_request","Claude Sonnet 4.5","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
"2026-02-01","Jaredl-exp","copilot","copilot_premium_request","Claude Sonnet 4.5","15","requests","0.04","0.6","0.6","0","False","300","Experity",""
"2026-02-01","nelpash","copilot","copilot_premium_request","GPT-5","11","requests","0.04","0.43999999999999995","0.43999999999999995","0","False","300","Experity",""
"2026-02-02","kvalani","copilot","copilot_premium_request","Auto: Claude Haiku 4.5","2.4","requests","0.04","0.09599999999999999","0.09599999999999999","0","False","300","Experity",""
"2026-02-02","kvalani","copilot","copilot_premium_request","Auto: Claude Sonnet 4.5","8.100000000000001","requests","0.04","0.32399999999999995","0.32399999999999995","0","False","300","Experity",""
"2026-02-02","nkaur24","copilot","copilot_premium_request","Claude Haiku 4.5","0.99","requests","0.04","0.039599999999999996","0.039599999999999996","0","False","300","Experity",""
"2026-02-02","Levoni","copilot","copilot_premium_request","Claude Haiku 4.5","3.9600000000000004","requests","0.04","0.15839999999999999","0.15839999999999999","0","False","300","Experity",""
"2026-02-02","vinicius-davila-experity","copilot","copilot_premium_request","Claude Haiku 4.5","0.33","requests","0.04","0.0132","0.0132","0","False","300","Experity",""
"2026-02-02","zacharypollard","copilot","copilot_premium_request","Claude Haiku 4.5","2.64","requests","0.04","0.10560000000000001","0.10560000000000001","0","False","300","Experity",""
"2026-02-02","singadi","copilot","copilot_premium_request","Claude Haiku 4.5","3.9600000000000004","requests","0.04","0.15839999999999999","0.15839999999999999","0","False","300","Experity",""
"2026-02-02","ithank","copilot","copilot_premium_request","Claude Haiku 4.5","1.6500000000000001","requests","0.04","0.066","0.066","0","False","300","Experity",""
"2026-02-02","kjm0001","copilot","copilot_premium_request","Claude Haiku 4.5","50.489999999999824","requests","0.04","2.0196000000000067","2.0196000000000067","0","False","300","Experity",""
"2026-02-02","jmunsch","copilot","copilot_premium_request","Claude Sonnet 4.5","6","requests","0.04","0.24000000000000002","0.24000000000000002","0","False","300","Experity",""
"2026-02-02","Ayushojha1110","copilot","copilot_premium_request","Claude Sonnet 4.5","2","requests","0.04","0.08","0.08","0","False","300","Experity",""
"2026-02-02","aswinkulath93","copilot","copilot_premium_request","Claude Sonnet 4.5","36","requests","0.04","1.4400000000000006","1.4400000000000006","0","False","300","Experity",""
"2026-02-02","narouz-makar","copilot","copilot_premium_request","Claude Sonnet 4.5","3","requests","0.04","0.12","0.12","0","False","300","Experity",""
"2026-02-02","sam-harris-experity","copilot","copilot_premium_request","Claude Sonnet 4.5","86","requests","0.04","3.440000000000002","3.440000000000002","0","False","300","Experity",""
"2026-02-02","snehathaduruexperity","copilot","copilot_premium_request","Claude Sonnet 4.5","4","requests","0.04","0.16","0.16","0","False","300","Experity",""
"2026-02-02","tcrane20","copilot","copilot_premium_request","Claude Sonnet 4.5","5","requests","0.04","0.2","0.2","0","False","300","Experity",""
"2026-02-02","tleibovich","copilot","copilot_premium_request","Claude Sonnet 4.5","5","requests","0.04","0.2","0.2","0","False","300","Experity",""
"2026-02-02","jfeathers13","copilot","copilot_premium_request","Claude Sonnet 4.5","2","requests","0.04","0.08","0.08","0","False","300","Experity",""
"2026-02-02","nkaur24","copilot","copilot_premium_request","Claude Sonnet 4.5","16","requests","0.04","0.64","0.64","0","False","300","Experity",""
"2026-02-02","Jaredl-exp","copilot","copilot_premium_request","Claude Sonnet 4.5","57","requests","0.04","2.280000000000001","2.280000000000001","0","False","300","Experity",""
"2026-02-02","iblatter-experity","copilot","copilot_premium_request","Claude Sonnet 4.5","59","requests","0.04","2.360000000000001","2.360000000000001","0","False","300","Experity",""
"2026-02-02","kennytran95","copilot","copilot_premium_request","Claude Sonnet 4.5","5","requests","0.04","0.2","0.2","0","False","300","Experity",""
"2026-02-02","rgiordano66","copilot","copilot_premium_request","Claude Sonnet 4.5","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
"2026-02-02","twilson-eh","copilot","copilot_premium_request","Claude Sonnet 4.5","18","requests","0.04","0.7200000000000001","0.7200000000000001","0","False","300","Experity",""
"2026-02-02","mikepedz","copilot","copilot_premium_request","Claude Sonnet 4.5","18","requests","0.04","0.7200000000000001","0.7200000000000001","0","False","300","Experity",""
"2026-02-02","seth-trudeau","copilot","copilot_premium_request","Code Review model","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
"2026-02-02","NorJull","copilot","copilot_premium_request","Code Review model","1","requests","0.04","0.04","0.04","0","False","300","onepackius",""
"2026-02-02","rtondeExperity","copilot","copilot_premium_request","Code Review model","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
"2026-02-02","iblatter-experity","copilot","copilot_premium_request","Code Review model","5","requests","0.04","0.2","0.2","0","False","300","Experity",""
"2026-02-02","aswinkulath93","copilot","copilot_premium_request","Code Review model","2","requests","0.04","0.08","0.08","0","False","300","Experity",""
"2026-02-02","bwhiteOP","copilot","copilot_premium_request","Code Review model","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
"2026-02-02","","copilot","copilot_premium_request","Code Review model","2","requests","0.04","0.08","0","0.08","True","0","Experity",""
"2026-02-02","Jaredl-exp","copilot","copilot_premium_request","Code Review model","2","requests","0.04","0.08","0.08","0","False","300","Experity",""
"2026-02-02","pablogitx","copilot","copilot_premium_request","Code Review model","2","requests","0.04","0.08","0.08","0","False","300","Experity",""
"2026-02-02","rgiordano66","copilot","copilot_premium_request","Code Review model","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
"2026-02-02","snehathaduruexperity","copilot","copilot_premium_request","GPT-5.1","3","requests","0.04","0.12","0.12","0","False","300","Experity",""
"2026-02-02","twilson-eh","copilot","copilot_premium_request","Gemini 2.5 Pro","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
"2026-02-03","vinicius-davila-experity","copilot","copilot_premium_request","Claude Haiku 4.5","2.31","requests","0.04","0.09240000000000001","0.09240000000000001","0","False","300","Experity",""
"2026-02-03","PhreighnQ","copilot","copilot_premium_request","Claude Haiku 4.5","0.99","requests","0.04","0.039599999999999996","0.039599999999999996","0","False","300","Experity",""
"2026-02-03","nkaur24","copilot","copilot_premium_request","Claude Haiku 4.5","3.6300000000000003","requests","0.04","0.1452","0.1452","0","False","300","Experity",""
"2026-02-03","kjm0001","copilot","copilot_premium_request","Claude Haiku 4.5","39.26999999999988","requests","0.04","1.5708000000000037","1.5708000000000037","0","False","300","Experity",""
"2026-02-03","singadi","copilot","copilot_premium_request","Claude Haiku 4.5","11.88","requests","0.04","0.47519999999999973","0.47519999999999973","0","False","300","Experity",""
"2026-02-03","snehathaduruexperity","copilot","copilot_premium_request","Claude Haiku 4.5","13.530000000000001","requests","0.04","0.5411999999999997","0.5411999999999997","0","False","300","Experity",""
"2026-02-03","rtondeExperity","copilot","copilot_premium_request","Claude Haiku 4.5","1.32","requests","0.04","0.0528","0.0528","0","False","300","Experity",""
"2026-02-03","bkent412","copilot","copilot_premium_request","Claude Haiku 4.5","3.3000000000000003","requests","0.04","0.132","0.132","0","False","300","Experity",""
"2026-02-03","sodakdoogie1969","copilot","copilot_premium_request","Claude Sonnet 4","60","requests","0.04","2.4000000000000012","2.4000000000000012","0","False","300","Experity",""
"2026-02-03","Jaredl-exp","copilot","copilot_premium_request","Claude Sonnet 4.5","20","requests","0.04","0.8000000000000002","0.8000000000000002","0","False","300","Experity",""
"2026-02-03","JoshMalan1","copilot","copilot_premium_request","Claude Sonnet 4.5","21","requests","0.04","0.8400000000000002","0.8400000000000002","0","False","300","Experity",""
"2026-02-03","jfeathers13","copilot","copilot_premium_request","Claude Sonnet 4.5","3","requests","0.04","0.12","0.12","0","False","300","Experity",""
"2026-02-03","twilson-eh","copilot","copilot_premium_request","Claude Sonnet 4.5","13","requests","0.04","0.5199999999999999","0.5199999999999999","0","False","300","Experity",""
"2026-02-03","leima2010","copilot","copilot_premium_request","Claude Sonnet 4.5","1","requests","0.04","0.04","0.04","0","False","300","onepackius",""
"2026-02-03","singadi","copilot","copilot_premium_request","Claude Sonnet 4.5","8","requests","0.04","0.32","0.32","0","False","300","Experity",""
"2026-02-03","bstock21","copilot","copilot_premium_request","Claude Sonnet 4.5","14","requests","0.04","0.5599999999999999","0.5599999999999999","0","False","300","onepackius",""
"2026-02-03","narouz-makar","copilot","copilot_premium_request","Claude Sonnet 4.5","8","requests","0.04","0.32","0.32","0","False","300","Experity",""
"2026-02-03","aswinkulath93","copilot","copilot_premium_request","Claude Sonnet 4.5","19","requests","0.04","0.7600000000000001","0.7600000000000001","0","False","300","Experity",""
"2026-02-03","tleibovich","copilot","copilot_premium_request","Claude Sonnet 4.5","39","requests","0.04","1.5600000000000007","1.5600000000000007","0","False","300","Experity",""
"2026-02-03","BrandonOrtuno","copilot","copilot_premium_request","Claude Sonnet 4.5","11","requests","0.04","0.43999999999999995","0.43999999999999995","0","False","300","Experity",""
"2026-02-03","iblatter-experity","copilot","copilot_premium_request","Claude Sonnet 4.5","13","requests","0.04","0.5199999999999999","0.5199999999999999","0","False","300","Experity",""
"2026-02-03","tcrane20","copilot","copilot_premium_request","Claude Sonnet 4.5","10","requests","0.04","0.39999999999999997","0.39999999999999997","0","False","300","Experity",""
"2026-02-03","kennytran95","copilot","copilot_premium_request","Claude Sonnet 4.5","8","requests","0.04","0.32","0.32","0","False","300","Experity",""
"2026-02-03","tobyjoliver","copilot","copilot_premium_request","Claude Sonnet 4.5","5","requests","0.04","0.2","0.2","0","False","300","Experity",""
"2026-02-03","sam-harris-experity","copilot","copilot_premium_request","Claude Sonnet 4.5","92","requests","0.04","3.6800000000000024","3.6800000000000024","0","False","300","Experity",""
"2026-02-03","mikepedz","copilot","copilot_premium_request","Claude Sonnet 4.5","17","requests","0.04","0.68","0.68","0","False","300","Experity",""
"2026-02-03","nkaur24","copilot","copilot_premium_request","Claude Sonnet 4.5","9","requests","0.04","0.36","0.36","0","False","300","Experity",""
