"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","exceeds_quota","total_monthly_quota","organization","cost_center_name"
"2025-12-01","cloneluke","copilot","copilot_premium_request","Claude Haiku 4.5","1.32","requests","0.04","0.0528","0.0528","0","False","300","Experity",""
"2025-12-01","twilson-eh","copilot","copilot_premium_request","Claude Haiku 4.5","6.2700000000000005","requests","0.04","0.2507999999999999","0.2507999999999999","0","False","300","Experity",""
"2025-12-01","aswinkulath93","copilot","copilot_premium_request","Claude Haiku 4.5","5.28","requests","0.04","0.21119999999999994","0.21119999999999994","0","False","300","Experity",""
"2025-12-01","zacharypollard","copilot","copilot_premium_request","Claude Haiku 4.5","0.33","requests","0.04","0.0132","0.0132","0","False","300","Experity",""
"2025-12-01","jfeathers13","copilot","copilot_premium_request","Claude Haiku 4.5","1.9800000000000002","requests","0.04","0.0792","0.0792","0","False","300","Experity",""
"2025-12-01","nkaur24","copilot","copilot_premium_request","Claude Haiku 4.5","3.3000000000000003","requests","0.04","0.132","0.132","0","False","300","Experity",""
"2025-12-01","ithank","copilot","copilot_premium_request","Claude Haiku 4.5","1.32","requests","0.04","0.0528","0.0528","0","False","300","Experity",""
"2025-12-01","bkent412","copilot","copilot_premium_request","Claude Haiku 4.5","1.6500000000000001","requests","0.04","0.066","0.066","0","False","300","Experity",""
"2025-12-01","bstock21","copilot","copilot_premium_request","Claude Haiku 4.5","0.99","requests","0.04","0.039599999999999996","0.039599999999999996","0","False","300","onepackius",""
"2025-12-01","tleibovich","copilot","copilot_premium_request","Claude Haiku 4.5","1.32","requests","0.04","0.0528","0.0528","0","False","300","Experity",""
"2025-12-01","kennytran95","copilot","copilot_premium_request","Claude Sonnet 4","3","requests","0.04","0.12","0.12","0","False","300","Experity",""
"2025-12-01","tyescalante","copilot","copilot_premium_request","Claude Sonnet 4","4","requests","0.04","0.16","0.16","0","False","300","Experity",""
"2025-12-01","tcrane20","copilot","copilot_premium_request","Claude Sonnet 4","2","requests","0.04","0.08","0.08","0","False","300","Experity",""
"2025-12-01","jfeathers13","copilot","copilot_premium_request","Claude Sonnet 4.5","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
"2025-12-01","BrandonOrtuno","copilot","copilot_premium_request","Claude Sonnet 4.5","2","requests","0.04","0.08","0.08","0","False","300","Experity",""
"2025-12-01","snehathaduruexperity","copilot","copilot_premium_request","Claude Sonnet 4.5","26","requests","0.04","1.0400000000000003","1.0400000000000003","0","False","300","Experity",""
"2025-12-01","JoshMalan1","copilot","copilot_premium_request","Claude Sonnet 4.5","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
"2025-12-01","Ayushojha1110","copilot","copilot_premium_request","Claude Sonnet 4.5","3","requests","0.04","0.12","0.12","0","False","300","Experity",""
"2025-12-01","nkaur24","copilot","copilot_premium_request","Claude Sonnet 4.5","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
"2025-12-01","vinicius-davila-experity","copilot","copilot_premium_request","Claude Sonnet 4.5","7","requests","0.04","0.28","0.28","0","False","300","Experity",""
"2025-12-01","mikepedz","copilot","copilot_premium_request","Claude Sonnet 4.5","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
"2025-12-01","NorJull","copilot","copilot_premium_request","Claude Sonnet 4.5","4","requests","0.04","0.16","0.16","0","False","300","onepackius",""
"2025-12-01","bstock21","copilot","copilot_premium_request","Claude Sonnet 4.5","5","requests","0.04","0.2","0.2","0","False","300","onepackius",""
