"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","exceeds_quota","total_monthly_quota","organization","cost_center_name"
"2025-11-01","aswinkulath93","copilot","copilot_premium_request","Claude Sonnet 4.5","37","requests","0.04","1.4800000000000006","1.4800000000000006","0","False","300","Experity",""
"2025-11-01","bkent412","copilot","copilot_premium_request","Claude Sonnet 4.5","2","requests","0.04","0.08","0.08","0","False","300","Experity",""
"2025-11-01","aswinkulath93","copilot","copilot_premium_request","Code Review model","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
"2025-11-03","jchechowitz","copilot","copilot_premium_request","Claude Sonnet 4","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
"2025-11-03","sam-harris-experity","copilot","copilot_premium_request","Claude Sonnet 4","36","requests","0.04","1.4400000000000006","1.4400000000000006","0","False","300","Experity",""
"2025-11-03","Levoni","copilot","copilot_premium_request","Claude Sonnet 4","9","requests","0.04","0.36","0.36","0","False","300","Experity",""
"2025-11-03","jfeathers13","copilot","copilot_premium_request","Claude Sonnet 4","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
"2025-11-03","mikepedz","copilot","copilot_premium_request","Claude Sonnet 4","4","requests","0.04","0.16","0.16","0","False","300","Experity",""
"2025-11-03","nkaur24","copilot","copilot_premium_request","Claude Sonnet 4","10","requests","0.04","0.39999999999999997","0.39999999999999997","0","False","300","Experity",""
"2025-11-03","tyescalante","copilot","copilot_premium_request","Claude Sonnet 4","4","requests","0.04","0.16","0.16","0","False","300","Experity",""
"2025-11-03","twilson-eh","copilot","copilot_premium_request","Claude Sonnet 4","2","requests","0.04","0.08","0.08","0","False","300","Experity",""
"2025-11-03","iblatter-experity","copilot","copilot_premium_request","Claude Sonnet 4","5","requests","0.04","0.2","0.2","0","False","300","Experity",""
"2025-11-03","twilson-eh","copilot","copilot_premium_request","Claude Sonnet 4.5","3","requests","0.04","0.12","0.12","0","False","300","Experity",""
"2025-11-03","zacharypollard","copilot","copilot_premium_request","Claude Sonnet 4.5","8","requests","0.04","0.32","0.32","0","False","300","Experity",""
"2025-11-03","Ayushojha1110","copilot","copilot_premium_request","Claude Sonnet 4.5","2","requests","0.04","0.08","0.08","0","False","300","Experity",""
"2025-11-03","RafaelDreschEncora","copilot","copilot_premium_request","Claude Sonnet 4.5","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
"2025-11-03","mikepedz","copilot","copilot_premium_request","Claude Sonnet 4.5","5","requests","0.04","0.2","0.2","0","False","300","Experity",""
"2025-11-03","PhreighnQ","copilot","copilot_premium_request","Claude Sonnet 4.5","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
"2025-11-03","rgiordano66","copilot","copilot_premium_request","Claude Sonnet 4.5","1","requests","0.04","0.04","0.04","0","False","300","Experity",""
