"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","exceeds_quota","total_monthly_quota","organization","cost_center_name","aic_quantity","aic_gross_amount"
"2026-04-01","cloneluke","copilot","copilot_premium_request","Auto: Claude Haiku 4.5","0.6","requests","0.04","0.024","0.024","0","False","300","Experity","","9.289264999999999","0.09289265000000001"
"2026-04-01","lathapinnaka","copilot","copilot_premium_request","Auto: Claude Haiku 4.5","1.5","requests","0.04","0.06","0.06","0","False","300","Experity","","16.42396","0.1642396"
"2026-04-01","snehathaduruexperity","copilot","copilot_premium_request","Auto: Claude Haiku 4.5","2.6999999999999997","requests","0.04","0.10799999999999998","0.10799999999999998","0","False","300","Experity","","24.20900000000001","0.24209"
"2026-04-01","kvalani","copilot","copilot_premium_request","Auto: Claude Haiku 4.5","0.8999999999999999","requests","0.04","0.036000000000000004","0.036000000000000004","0","False","300","Experity","","8.221","0.08221"
"2026-04-01","snehathaduruexperity","copilot","copilot_premium_request","Auto: Claude Sonnet 4.6","0.9","requests","0.04","0.036","0.036","0","False","300","Experity","","16.201155","0.16201155"
"2026-04-01","cloneluke","copilot","copilot_premium_request","Auto: Claude Sonnet 4.6","0.9","requests","0.04","0.036","0.036","0","False","300","Experity","","19.17621","0.1917621"
"2026-04-01","MariiSanchez","copilot","copilot_premium_request","Auto: Claude Sonnet 4.6","6.300000000000001","requests","0.04","0.252","0.252","0","False","300","Experity","","175.56462","1.7556462"
"2026-04-01","tobyjoliver","copilot","copilot_premium_request","Auto: Claude Sonnet 4.6","3.6","requests","0.04","0.144","0.144","0","False","300","Experity","","33.865815","0.33865815"
"2026-04-01","lathapinnaka","copilot","copilot_premium_request","Auto: Claude Sonnet 4.6","0.9","requests","0.04","0.036","0.036","0","False","300","Experity","","4.52298","0.045229799999999994"
"2026-04-01","kvalani","copilot","copilot_premium_request","Auto: GPT-5.3-Codex","0.9","requests","0.04","0.036","0.036","0","False","300","Experity","","23.172905","0.23172905"
"2026-04-01","cmonterroso-exp","copilot","copilot_premium_request","Auto: GPT-5.3-Codex","4.5","requests","0.04","0.18","0.18","0","False","300","onepackius","","38.36791","0.3836791"
"2026-04-01","drakedub","copilot","copilot_premium_request","Auto: GPT-5.3-Codex","2.7","requests","0.04","0.10799999999999998","0.10799999999999998","0","False","300","","","33.25462","0.33254619999999996"
"2026-04-01","MariiSanchez","copilot","copilot_premium_request","Auto: GPT-5.3-Codex","9.900000000000002","requests","0.04","0.3959999999999999","0.3959999999999999","0","False","300","Experity","","196.924735","1.96924735"
"2026-04-01","lathapinnaka","copilot","copilot_premium_request","Auto: GPT-5.3-Codex","4.5","requests","0.04","0.18","0.18","0","False","300","Experity","","11.410874999999999","0.11410875000000001"
"2026-04-01","cloneluke","copilot","copilot_premium_request","Auto: GPT-5.3-Codex","15.300000000000004","requests","0.04","0.612","0.612","0","False","300","Experity","","111.07677","1.1107676999999994"
"2026-04-01","snehathaduruexperity","copilot","copilot_premium_request","Auto: GPT-5.3-Codex","20.699999999999996","requests","0.04","0.8280000000000002","0.8280000000000002","0","False","300","Experity","","162.931965","1.6293196500000002"
"2026-04-01","PVMisCthulhu","copilot","copilot_premium_request","Auto: GPT-5.3-Codex","1.8","requests","0.04","0.072","0.072","0","False","300","Experity","","17.97635","0.17976350000000002"
"2026-04-01","mariomcguire","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","300","Experity","","107.22057999999998","1.0722058000000003"
"2026-04-01","iblatter-experity","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","300","Experity","","59.63250000000003","0.596325"
"2026-04-01","sam-harris-experity","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","300","Experity","","93.9337","0.9393370000000003"
"2026-04-01","adamkenvin","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","300","Experity","","18.20435","0.1820435"
"2026-04-01","Alex1953s","copilot","copilot_premium_request","Claude Opus 4.6","27","requests","0.04","1.08","1.08","0","False","300","Experity","","797.1209250000002","7.971209250000001"
"2026-04-01","adamkenvin","copilot","copilot_premium_request","Claude Opus 4.6","15","requests","0.04","0.6","0.6","0","False","300","Experity","","522.2649000000001","5.222649"
"2026-04-01","nkaur24","copilot","copilot_premium_request","Claude Opus 4.6","48","requests","0.04","1.9200000000000008","1.9200000000000008","0","False","300","Experity","","1536.4457000000007","15.364457"
"2026-04-01","cloneluke","copilot","copilot_premium_request","Claude Opus 4.6","27","requests","0.04","1.08","1.08","0","False","300","Experity","","504.46337500000004","5.044633750000001"
"2026-04-01","PVMisCthulhu","copilot","copilot_premium_request","Claude Opus 4.6","3","requests","0.04","0.12","0.12","0","False","300","Experity","","18.18995","0.1818995"
"2026-04-01","iblatter-experity","copilot","copilot_premium_request","Claude Opus 4.6","192","requests","0.04","7.680000000000006","7.680000000000006","0","False","300","Experity","","5724.946524999997","57.24946524999998"
"2026-04-01","twilson-eh","copilot","copilot_premium_request","Claude Opus 4.6","6","requests","0.04","0.24","0.24","0","False","300","Experity","","38.0025","0.38002499999999995"
"2026-04-01","BrandonOrtuno","copilot","copilot_premium_request","Claude Sonnet 4.5","6","requests","0.04","0.24000000000000002","0.24000000000000002","0","False","300","Experity","","718.5190799999999","7.185190800000001"
"2026-04-01","jchechowitz","copilot","copilot_premium_request","Claude Sonnet 4.5","14","requests","0.04","0.5599999999999999","0.5599999999999999","0","False","300","Experity","","220.59582000000012","2.2059582"
"2026-04-01","lathapinnaka","copilot","copilot_premium_request","Claude Sonnet 4.5","3","requests","0.04","0.12","0.12","0","False","300","Experity","","4.918169999999999","0.049181699999999995"
"2026-04-01","mariomcguire","copilot","copilot_premium_request","Claude Sonnet 4.5","0","requests","0.04","0","0","0","False","300","Experity","","101.82204000000003","1.0182204"
"2026-04-01","bstock21","copilot","copilot_premium_request","Claude Sonnet 4.6","31","requests","0.04","1.2400000000000004","1.2400000000000004","0","False","300","onepackius","","1726.3724099999997","17.263724100000005"
"2026-04-01","mariomcguire","copilot","copilot_premium_request","Claude Sonnet 4.6","56","requests","0.04","2.240000000000001","2.240000000000001","0","False","300","Experity","","5994.058290000002","59.94058289999999"
"2026-04-01","rroman-encora","copilot","copilot_premium_request","Claude Sonnet 4.6","1","requests","0.04","0.04","0.04","0","False","300","onepackius","","12.11469","0.1211469"
"2026-04-01","kennytran95","copilot","copilot_premium_request","Claude Sonnet 4.6","9","requests","0.04","0.36","0.36","0","False","300","Experity","","83.79637500000001","0.83796375"
