"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","exceeds_quota","total_monthly_quota","organization","cost_center_name","aic_quantity","aic_gross_amount"
"2026-05-01","hdaum","copilot","copilot_premium_request","Auto: Claude Haiku 4.5","0.3","requests","0.04","0.012","0.012","0","False","300","Experity","","4.1067225","0.041067225"
"2026-05-01","justinfodness","copilot","copilot_premium_request","Auto: Claude Haiku 4.5","0.3","requests","0.04","0.012","0.012","0","False","300","Experity","","7.3738575","0.073738575"
"2026-05-01","MariiSanchez","copilot","copilot_premium_request","Auto: Claude Haiku 4.5","2.6999999999999997","requests","0.04","0.10799999999999998","0.10799999999999998","0","False","300","Experity","","38.694483","0.38694483"
"2026-05-01","hdaum","copilot","copilot_premium_request","Auto: Claude Sonnet 4.6","2.7","requests","0.04","0.10799999999999998","0.10799999999999998","0","False","300","Experity","","32.813829","0.32813829"
"2026-05-01","MariiSanchez","copilot","copilot_premium_request","Auto: Claude Sonnet 4.6","4.5","requests","0.04","0.18","0.18","0","False","300","Experity","","69.05762999999999","0.6905763"
"2026-05-01","tdigambar","copilot","copilot_premium_request","Auto: Claude Sonnet 4.6","0.9","requests","0.04","0.036","0.036","0","False","300","Experity","","8.3538675","0.08353867499999999"
"2026-05-01","cloneluke","copilot","copilot_premium_request","Auto: GPT-5.3-Codex","10.800000000000002","requests","0.04","0.4319999999999999","0.4319999999999999","0","False","300","Experity","","35.7215355","0.357215355"
"2026-05-01","MariiSanchez","copilot","copilot_premium_request","Auto: GPT-5.3-Codex","43.19999999999996","requests","0.04","1.7280000000000009","1.7280000000000009","0","False","300","Experity","","96.50891249999997","0.965089125"
"2026-05-01","hdaum","copilot","copilot_premium_request","Auto: GPT-5.3-Codex","14.400000000000004","requests","0.04","0.576","0.576","0","False","300","Experity","","124.0981245","1.240981245"
"2026-05-01","MariiSanchez","copilot","copilot_premium_request","Auto: GPT-5.4","14.400000000000004","requests","0.04","0.576","0.576","0","False","300","Experity","","62.5963275","0.6259632749999999"
"2026-05-01","justinfodness","copilot","copilot_premium_request","Auto: GPT-5.4","1.8","requests","0.04","0.072","0.072","0","False","300","Experity","","10.242162","0.10242162"
"2026-05-01","hdaum","copilot","copilot_premium_request","Auto: GPT-5.4","6.300000000000001","requests","0.04","0.252","0.252","0","False","300","Experity","","77.446404","0.77446404"
"2026-05-01","bkent412","copilot","copilot_premium_request","Claude Haiku 4.5","3.3000000000000003","requests","0.04","0.132","0.132","0","False","300","Experity","","28.97251","0.28972510000000007"
